epoch,train_loss,val_loss
1,0.18088366343131798,0.00769535331055522
2,0.0050114547960798846,0.002687532268464565
3,0.0018718152000060813,0.0016147594433277845
4,0.0012089650950987232,0.0010664426372386515
5,0.0009301673959602009,0.0009730141027830541
6,0.0008017657197673212,0.0007969953003339469
7,0.0007146644387500022,0.0008008002187125385
8,0.0007132058566309173,0.00080784143647179
9,0.0006099221103464846,0.000637005700264126
10,0.00054144362564495,0.0005449985037557781
11,0.000498790723874911,0.0005082959134597332
12,0.000489952909199267,0.0005057034431956708
13,0.0004149411569497633,0.0004548316530417651
14,0.0003924667980754748,0.000425420276587829
15,0.0003778205163226548,0.00043911247048527
16,0.00036387652521212163,0.00042886973824352026
17,0.00032948027563344857,0.00037955826846882703
18,0.0003373786338753152,0.00034223481197841464
19,0.0003047024352285503,0.0003563105186913162
20,0.0003164247920556756,0.0003123657574178651
21,0.00027492377028631216,0.00033924664021469655
22,0.0002655727532163093,0.00030874361691530795
23,0.00025686514510942453,0.00028236948419362306
24,0.00022688805157403377,0.0002790706814266741
25,0.0002392284632977945,0.00031004214542917907
26,0.000264934416257099,0.0003464260487817228
27,0.00021737849535632202,0.0002681942918570712
28,0.00022218596859602258,0.0002586603892268613
29,0.00024075982020638713,0.000251717513310723
30,0.0002161815599802966,0.0002823703835019842
31,0.0002005039932555519,0.00028579896898008885
32,0.0001969241764692759,0.00025767822517082096
33,0.0002187778657323427,0.00027456483221612873
34,0.0002089520190069875,0.00021139715972822158
35,0.00016892921319760552,0.00022135750914458184
36,0.0001542623547059272,0.00021834431681782006
37,0.00014955741657600314,0.00019599275256041438
38,0.00014564036841461942,0.00017984741425607352
39,0.00014696662699200468,0.0002342011168366298
40,0.0001341484868052331,0.0002277237130329013
41,0.00014450405797106214,0.00019379635341465473
42,0.00014671358406882393,0.00022067937243264169
43,0.0001360021464775359,0.00018002005817834287
44,0.00014226761413738132,0.00020485189161263407
45,0.000149872328620404,0.00021907899354118855
46,0.0001421386557260782,0.00019669342727866024
47,0.00014877418454323725,0.00017462146061006934
48,0.0001465687108231412,0.0001882886834209785
49,0.00014921439420008525,0.00021426837192848325
50,0.00012868584830853664,0.00015634299197699874
51,0.00010317271351761354,0.00015415656089317052
52,0.00010692796654025601,0.00018624473887030035
53,0.00018333740775812078,0.0002858090156223625
54,0.00013798542171240445,0.00018826833402272314
55,0.00011793361078492704,0.00016177225043065847
56,0.00010730339636211284,0.00013834147102897987
57,0.00012365610580838455,0.00017787044926080852
58,0.0001415302186532327,0.00019959842611569912
59,0.00013257331275698644,0.0002095686155371368
60,0.0001443830941835503,0.00014529779145959764
61,9.79705503348007e-05,0.00014425678964471444
62,0.00011038035749648274,0.0001464989865780808
63,0.00010065197553062303,0.00013527379051083698
64,0.00010534367670929483,0.00013019086909480393
65,8.558972943071488e-05,0.00011908104934263975
66,8.863677563071674e-05,0.00014281503536039963
67,0.00011858754012130454,0.0001405216855346225
68,0.00010796573339823887,0.0001830942026572302
69,9.813876220670699e-05,0.0001087557480786927
70,9.430960033734499e-05,0.0001354045278276317
71,0.00010679320290695283,0.00011504242429509759
72,8.356624890769704e-05,0.0001425612106686458
73,8.702742277157746e-05,0.00011999420239590108
74,8.828229362155649e-05,0.00012170955305919051
75,0.00011347838914265263,0.0001504323270637542
76,0.0001318833449410952,0.00015491868834942578
77,0.00011983641326713206,0.00012011213111691177
78,0.00010146830820965327,0.00012687814305536448
79,0.00010551993248306893,0.0001512206086772494
80,0.00013071127911892043,0.00016612217586953193
81,0.0001068616929842392,0.00010892773425439373
82,0.00010209146156822416,0.00013295412791194394
83,9.260356289980172e-05,0.00012999564060010017
84,7.65322826985291e-05,0.00013074300222797318
85,6.986931144968945e-05,9.98416857328266e-05
86,9.269514174031264e-05,0.00020133658836130053
87,0.00011704674861076373,0.00010147990396944807
88,9.753456519816113e-05,0.0001359709960524924
89,8.401467345141678e-05,0.0001100317109376192
90,7.60170964481817e-05,9.595460869604722e-05
91,8.650429812074766e-05,0.00011724162177415565
92,8.496374159056523e-05,0.00012524723133537917
93,7.75251547483177e-05,0.00011842552630696446
94,8.604267217875035e-05,0.00014322162605822085
95,8.869424908136187e-05,9.305280691478402e-05
96,7.076452261985237e-05,9.668406273704022e-05
97,7.31131666808241e-05,0.00012224813544889913
98,7.709837088689461e-05,0.00010377295984653756
99,7.733373240625951e-05,0.00011483991693239659
100,8.26906571918781e-05,9.717753564473242e-05
101,0.0001068608529418601,0.00014627889613620936
102,0.0001014369779361666,0.0001804698375053704
103,0.00010027506224022628,9.347553714178503e-05
104,8.08367625392169e-05,8.564976888010278e-05
105,6.947928853729867e-05,0.00010562062525423243
106,9.017717539708511e-05,0.00011108039907412604
107,6.608302795608655e-05,0.00010886320524150506
108,0.0001440647690535777,0.00016426762158516794
109,0.00016014866328491323,0.00014784630911890417
110,7.811239844489715e-05,8.609911383246071e-05
111,7.774989601536866e-05,8.067040689638816e-05
112,7.835977323173375e-05,0.00012662294320762158
113,8.129972246189772e-05,0.00010824777855305001
114,8.821173270751552e-05,0.00020322301134001464
115,8.45998072856508e-05,0.0001662704802583903
116,8.336945095586337e-05,8.641213498776779e-05
117,5.6920818844280966e-05,9.590519330231473e-05
118,6.585828999628906e-05,8.760325363255106e-05
119,6.207201551495183e-05,9.254337492166087e-05
120,5.6582271843746476e-05,6.57904201943893e-05
121,5.186500080030369e-05,7.688595360377803e-05
122,9.300543619743125e-05,0.00022319988638628275
123,0.0001610194025984542,0.00013575661141658203
124,0.0001067041514695368,0.00013906006352044643
125,0.00017504919213189913,0.0002407005667919293
126,0.00017248855808495799,0.00020274880225770175
127,0.00010773529720609076,0.00019445987418293954
128,0.00010795093145464885,9.965769859263674e-05
129,9.68854201346403e-05,8.046256334637292e-05
130,8.040832521642601e-05,0.00010421926126582547
131,7.935274466448887e-05,6.566753872903064e-05
132,7.196891452953092e-05,0.00012122089246986434
133,0.00011860814612935593,0.00012097462895326317
134,0.00011580643893632276,7.821918115951121e-05
135,0.00011745524005329406,8.58234619954601e-05
136,0.00011829719617460135,9.087336802622303e-05
137,7.065164870503146e-05,0.0001699597865808755
138,7.414088759105653e-05,0.00010751029331004247
139,8.833745910537387e-05,0.00011053160851588472
140,8.851574635958637e-05,0.00011517412931425497
141,7.059473054224244e-05,0.00011277597077423707
142,8.374533502898306e-05,0.00011506277223816141
143,7.572290318917526e-05,6.945127752260305e-05
144,5.5822045396780595e-05,6.27064517175313e-05
145,6.06702816929266e-05,7.95301908510737e-05
146,6.292097648177084e-05,6.231320221559145e-05
147,5.4447417162670966e-05,8.978488622233272e-05
148,5.8275928908683866e-05,6.732066685799509e-05
149,4.9784091143837116e-05,7.658681715838611e-05
150,5.645588176279985e-05,0.00010091479343827814
151,5.224833619815234e-05,8.503528806613758e-05
152,7.534005155982662e-05,6.866819094284438e-05
153,0.00010844861472750463,0.00011197081330465153
154,9.84302889926105e-05,7.384889831882902e-05
155,5.159045973745048e-05,6.644996319664642e-05
156,4.8244560523678295e-05,7.916186295915395e-05
157,5.4680872050415594e-05,7.456053717760369e-05
158,5.150302579502088e-05,6.232536907191388e-05
159,5.5076777161130764e-05,7.700758869759739e-05
160,9.129132211621089e-05,6.974032658035867e-05
161,7.64928508116017e-05,9.043453901540488e-05
162,9.191878135342532e-05,0.00014349004050018266
163,5.9208540816061117e-05,6.949709422769957e-05
164,5.4416208926837e-05,6.45340776827652e-05
165,6.870488935171373e-05,6.573061546077952e-05
166,7.505050251149277e-05,0.00011031157773686573
167,8.96982212659416e-05,9.470941731706261e-05
168,9.243377842887475e-05,9.039626311277971e-05
169,5.989672321117144e-05,8.501435368089006e-05
170,6.306844955939927e-05,5.994383245706558e-05
171,6.709838238417764e-05,5.9010674158344044e-05
172,4.461015264082975e-05,5.212377873249352e-05
173,3.9884935176814906e-05,5.726567833335139e-05
174,4.442119039925853e-05,6.215310786501504e-05
